scenario,iteration,match,latency,timestamp
A1,1,True,0.021229,2025-10-22T17:22:47.717842+00:00
A2,1,True,0.073158,2025-10-22T17:22:51.250307+00:00
A3,1,True,0.057465,2025-10-22T17:22:55.951791+00:00
B1,1,True,0.074938,2025-10-22T17:23:20.530809+00:00
B2,1,True,0.081014,2025-10-22T17:23:44.578024+00:00
B3,1,True,0.086085,2025-10-22T17:24:23.805780+00:00
B4,1,True,0.074379,2025-10-22T17:25:04.597939+00:00
B5,1,True,0.081112,2025-10-22T17:25:45.517502+00:00
B6,1,True,0.071709,2025-10-22T17:26:26.409785+00:00
