scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.023516,2025-10-22T16:35:39.384215+00:00
A2_unsubscribed_no_update,1,True,0.075785,2025-10-22T16:35:42.901474+00:00
A3_derived_property_propagation,1,True,0.058089,2025-10-22T16:35:47.681642+00:00
B1_create_thing,1,True,0.063158,2025-10-22T16:36:00.235452+00:00
B2_add_thing_to_twin,1,True,0.076744,2025-10-22T16:36:20.283901+00:00
B3_delete_thing,1,True,0.079294,2025-10-22T16:37:17.842955+00:00
B4_add_rel,1,True,0.061892,2025-10-22T16:37:55.235223+00:00
B5_modify_rel,1,True,0.064507,2025-10-22T16:38:35.736574+00:00
B6_delete_rel,1,True,0.060058,2025-10-22T16:39:16.260050+00:00
