scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.012089,2025-10-16T12:59:39.125782+00:00
A2_unsubscribed_no_update,1,True,0.029218,2025-10-16T12:59:40.334303+00:00
A1_reactive_update,2,True,0.009037,2025-10-16T12:59:41.390140+00:00
A2_unsubscribed_no_update,2,True,0.01586,2025-10-16T12:59:42.574345+00:00
A1_reactive_update,3,True,0.009384,2025-10-16T12:59:43.647555+00:00
A2_unsubscribed_no_update,3,True,0.013445,2025-10-16T12:59:44.833658+00:00
A1_reactive_update,4,True,0.009192,2025-10-16T12:59:45.905803+00:00
A2_unsubscribed_no_update,4,True,0.043197,2025-10-16T12:59:47.120138+00:00
A1_reactive_update,5,True,0.00947,2025-10-16T12:59:48.156964+00:00
A2_unsubscribed_no_update,5,True,0.015036,2025-10-16T12:59:49.349025+00:00
A3_derived_property_propagation,1,True,0.241272,2025-10-16T12:59:51.723481+00:00
A3_derived_property_propagation,2,True,0.051021,2025-10-16T12:59:54.316426+00:00
A3_derived_property_propagation,3,True,0.035324,2025-10-16T12:59:56.965804+00:00
A3_derived_property_propagation,4,True,0.053908,2025-10-16T12:59:59.350901+00:00
A3_derived_property_propagation,5,True,0.079629,2025-10-16T13:00:02.788089+00:00
