scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.011026,2025-10-16T12:26:03.175688+00:00
A2_unsubscribed_no_update,1,True,,2025-10-16T12:26:04.514373+00:00
A1_reactive_update,2,True,0.012921,2025-10-16T12:26:05.574004+00:00
A2_unsubscribed_no_update,2,True,,2025-10-16T12:26:07.038305+00:00
A1_reactive_update,3,True,0.039506,2025-10-16T12:26:08.119802+00:00
A2_unsubscribed_no_update,3,True,,2025-10-16T12:26:09.592469+00:00
A1_reactive_update,4,True,0.018261,2025-10-16T12:26:10.663536+00:00
A2_unsubscribed_no_update,4,True,,2025-10-16T12:26:12.368287+00:00
A1_reactive_update,5,True,0.035329,2025-10-16T12:26:13.603996+00:00
A2_unsubscribed_no_update,5,True,,2025-10-16T12:26:15.194419+00:00
A3_derived_property_propagation,1,True,0.100503,2025-10-16T12:26:17.356661+00:00
A3_derived_property_propagation,2,True,0.175287,2025-10-16T12:26:19.683189+00:00
A3_derived_property_propagation,3,True,0.090359,2025-10-16T12:26:21.865650+00:00
A3_derived_property_propagation,4,True,0.118489,2025-10-16T12:26:24.061249+00:00
A3_derived_property_propagation,5,True,0.065509,2025-10-16T12:26:29.750389+00:00
A1_reactive_update,1,True,0.012281,2025-10-16T12:26:46.495507+00:00
A2_unsubscribed_no_update,1,True,-3056.495507,2025-10-16T12:26:47.888686+00:00
A1_reactive_update,2,True,0.012911,2025-10-16T12:26:48.947309+00:00
A2_unsubscribed_no_update,2,True,-3058.947309,2025-10-16T12:26:50.284831+00:00
A1_reactive_update,3,True,0.008663,2025-10-16T12:26:51.324008+00:00
A2_unsubscribed_no_update,3,True,-3061.324008,2025-10-16T12:26:52.644316+00:00
A1_reactive_update,4,True,0.007019,2025-10-16T12:26:53.696232+00:00
A2_unsubscribed_no_update,4,True,-3063.696232,2025-10-16T12:26:55.094177+00:00
A1_reactive_update,5,True,0.012957,2025-10-16T12:26:58.265162+00:00
A2_unsubscribed_no_update,5,True,-3068.265162,2025-10-16T12:26:59.569043+00:00
A3_derived_property_propagation,1,True,0.046002,2025-10-16T12:27:01.688294+00:00
A3_derived_property_propagation,2,True,0.056977,2025-10-16T12:27:03.810913+00:00
A3_derived_property_propagation,3,True,0.134832,2025-10-16T12:27:06.146615+00:00
A3_derived_property_propagation,4,True,0.057536,2025-10-16T12:27:08.268442+00:00
A3_derived_property_propagation,5,True,0.076324,2025-10-16T12:27:10.561783+00:00
