scenario,iteration,match,latency,timestamp
A1_reactive_update,1,False,-979.443191,2025-10-16T11:18:13.700613+00:00
A2_unsubscribed_no_update,1,True,,2025-10-16T11:18:21.788189+00:00
A1_reactive_update,2,False,-990.487797,2025-10-16T11:18:24.739108+00:00
A2_unsubscribed_no_update,2,True,,2025-10-16T11:18:32.822551+00:00
A1_reactive_update,3,False,-999.613561,2025-10-16T11:18:33.874908+00:00
A2_unsubscribed_no_update,3,True,,2025-10-16T11:18:41.952515+00:00
A1_reactive_update,4,False,-1008.747959,2025-10-16T11:18:43.005261+00:00
A2_unsubscribed_no_update,4,True,,2025-10-16T11:18:51.090629+00:00
A1_reactive_update,5,False,-1018.447863,2025-10-16T11:18:52.706962+00:00
A2_unsubscribed_no_update,5,True,,2025-10-16T11:19:01.464219+00:00
A3_derived_property_propagation,1,False,-1010.439495,2025-10-16T11:19:03.613905+00:00
A3_derived_property_propagation,2,False,-1012.540859,2025-10-16T11:19:05.708982+00:00
A3_derived_property_propagation,3,False,-1014.647721,2025-10-16T11:19:07.829409+00:00
A3_derived_property_propagation,4,False,-1016.806747,2025-10-16T11:19:09.974240+00:00
A3_derived_property_propagation,5,False,-1018.945822,2025-10-16T11:19:12.121955+00:00
