Label,Latency_v1,LossRate_v1,Latency_v2,LossRate_v2
1000x@1/2s,2.266610999604743,0.09002331054880885,0.01947799697149644,0.0
2500x@1/1s,5.176247630598764,0.466568306477109,0.14810256266275632,0.0
5000x@1/1s,5.520022163374681,0.3959764614308763,0.5665232941352036,0.0
5000x@1/0.20s,7.888884390392116,0.7560797019071064,0.7149899023528091,0.0
