scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.049776,2025-10-16T12:02:31.617941+00:00
A2_unsubscribed_no_update,1,True,,2025-10-16T12:02:32.938264+00:00
A1_reactive_update,2,True,0.0296,2025-10-16T12:02:34.006145+00:00
A2_unsubscribed_no_update,2,True,,2025-10-16T12:02:35.301669+00:00
A1_reactive_update,3,True,0.036748,2025-10-16T12:02:36.400182+00:00
A2_unsubscribed_no_update,3,True,,2025-10-16T12:02:37.677039+00:00
A1_reactive_update,4,True,0.055168,2025-10-16T12:02:38.766763+00:00
A2_unsubscribed_no_update,4,True,,2025-10-16T12:02:40.153723+00:00
A1_reactive_update,5,True,0.060249,2025-10-16T12:02:41.256261+00:00
A2_unsubscribed_no_update,5,True,,2025-10-16T12:02:42.620405+00:00
A3_derived_property_propagation,1,True,0.201284,2025-10-16T12:02:45.234086+00:00
A3_derived_property_propagation,2,True,0.319338,2025-10-16T12:02:47.956882+00:00
A3_derived_property_propagation,3,True,0.229589,2025-10-16T12:02:50.258915+00:00
A3_derived_property_propagation,4,True,0.147952,2025-10-16T12:02:52.472803+00:00
A3_derived_property_propagation,5,True,0.28153,2025-10-16T12:02:54.791613+00:00
