scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.009965,2025-10-16T12:28:54.644257+00:00
A2_unsubscribed_no_update,1,True,-3184.644257,2025-10-16T12:28:59.518822+00:00
A1_reactive_update,2,True,0.011035,2025-10-16T12:29:00.571298+00:00
A2_unsubscribed_no_update,2,True,-3190.571298,2025-10-16T12:29:01.891820+00:00
A1_reactive_update,3,True,0.010847,2025-10-16T12:29:02.940706+00:00
A2_unsubscribed_no_update,3,True,-3192.940706,2025-10-16T12:29:04.260303+00:00
A1_reactive_update,4,True,0.006973,2025-10-16T12:29:05.302714+00:00
A2_unsubscribed_no_update,4,True,-3195.302714,2025-10-16T12:29:06.622480+00:00
A1_reactive_update,5,True,0.011621,2025-10-16T12:29:07.662029+00:00
A2_unsubscribed_no_update,5,True,-3197.662029,2025-10-16T12:29:08.982859+00:00
A3_derived_property_propagation,1,True,0.03793,2025-10-16T12:29:11.102419+00:00
A3_derived_property_propagation,2,True,0.043866,2025-10-16T12:29:13.213028+00:00
A3_derived_property_propagation,3,True,0.054788,2025-10-16T12:29:15.304927+00:00
A3_derived_property_propagation,4,True,0.034796,2025-10-16T12:29:17.401411+00:00
A3_derived_property_propagation,5,True,0.05236,2025-10-16T12:29:19.524429+00:00
