scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.007594,2025-10-16T12:49:32.404661+00:00
A2_unsubscribed_no_update,1,True,-7199.984661,2025-10-16T12:49:33.657064+00:00
A1_reactive_update,2,True,0.054303,2025-10-16T12:49:34.760900+00:00
A2_unsubscribed_no_update,2,True,-7197.0919,2025-10-16T12:49:39.139849+00:00
A1_reactive_update,3,True,0.007982,2025-10-16T12:49:40.198410+00:00
A2_unsubscribed_no_update,3,True,-7199.98441,2025-10-16T12:49:41.412267+00:00
A1_reactive_update,4,True,0.014645,2025-10-16T12:49:42.510993+00:00
A2_unsubscribed_no_update,4,True,-7199.974993,2025-10-16T12:49:43.711491+00:00
A1_reactive_update,5,True,0.019059,2025-10-16T12:49:44.782164+00:00
A2_unsubscribed_no_update,5,True,-7199.983164,2025-10-16T12:49:45.982473+00:00
A3_derived_property_propagation,1,True,0.068269,2025-10-16T12:49:48.168848+00:00
A3_derived_property_propagation,2,True,0.059282,2025-10-16T12:49:50.350441+00:00
A3_derived_property_propagation,3,True,0.344529,2025-10-16T12:49:53.194532+00:00
A3_derived_property_propagation,4,True,0.046545,2025-10-16T12:49:55.308582+00:00
A3_derived_property_propagation,5,True,0.051425,2025-10-16T12:49:57.431457+00:00
